u,g,r,i,z,gaia_g,bp,rp
17.3965,16.5314,16.2331,16.1408,16.1162,16.21013,16.46413,15.79228
17.4943,16.5832,16.3241,16.2005,16.1867,16.31157,16.56815,15.88814
17.976,17.0243,16.6867,16.5663,16.5095,16.67652,16.96387,16.22473
16.8082,15.8992,15.6001,15.4906,15.4746,15.58317,15.83625,15.15712
17.8675,16.9863,16.6801,16.5849,16.5458,16.67371,16.94126,16.2535
16.9199,15.9538,15.604,15.4475,15.4172,15.5921,15.8823,15.13092
17.4013,16.4574,16.2044,16.109,16.0684,16.19207,16.4456,15.77568
17.3549,16.4633,16.1417,16.0216,15.9938,16.12071,16.3964,15.66866
17.4197,16.4881,16.1679,16.0614,16.0109,16.15041,16.42336,15.70837
17.0415,16.1602,15.8209,15.7193,15.6556,15.81085,16.07342,15.37985
16.78,15.8272,15.4656,15.3477,15.3406,15.49088,15.78042,15.02718
18.5133,17.5336,17.1295,16.9665,16.8567,17.14791,17.46718,16.63578
17.2215,16.298,15.8897,15.7557,15.734,15.91721,16.21588,15.43859
16.986,16.005,15.7157,15.6132,15.566,15.69196,15.9569,15.26099
17.5949,16.33536,15.8185,15.60029,15.52135,15.85418,16.245,15.28986
17.1512,16.219,15.8617,15.7699,15.7335,15.86547,16.14514,15.42652
18.256,17.3581,17.0514,16.909,16.8907,17.03706,17.31532,16.60402
17.9716,16.9613,16.5113,16.3296,16.2573,16.51653,16.8455,16.00765
17.5451,16.5475,16.238,16.1142,16.0471,16.22228,16.50577,15.76875
17.1486,16.1458,15.7899,15.6537,15.6597,15.78954,16.07623,15.33106
16.1507,15.2794,14.8741,14.7194,14.6965,14.87521,15.17775,14.39665
17.2707,16.3163,16.0104,15.8755,15.8594,15.99036,16.26611,15.55538
17.4214,16.5975,16.3087,16.1981,16.2386,16.30355,16.54785,15.88687
16.9082,16.0307,15.7627,15.6984,15.6542,15.75719,16.00174,15.34734
18.0029,17.0412,16.7366,16.6623,16.638,16.75492,17.02121,16.32292
17.6097,16.7376,16.4514,16.3902,16.2651,16.42008,16.6787,16.00013
19.149,18.0718,17.6573,17.5386,17.4232,17.67426,18.02334,17.18673
17.4669,16.4842,16.1868,16.0932,16.0935,16.18633,16.44456,15.76706
16.7724,15.8615,15.5061,15.3932,15.3204,15.50355,15.78968,15.04119
17.6266,16.7982,16.4523,16.3117,16.2833,16.45645,16.74749,15.98161
19.11678,17.87812,17.30242,17.00286,16.81955,17.12477,17.64234,16.44861
17.1916,16.2646,15.9694,15.8588,15.8538,15.96338,16.21336,15.53568
18.0734,17.0989,16.8163,16.7228,16.6738,16.74589,17.01881,16.32091
15.9208,15.0477,14.7497,14.6203,14.5977,14.72728,14.99114,14.29607
17.32558,16.43178,16.09955,16.00317,15.9849,16.10052,16.37125,15.67446
16.6182,15.6943,15.4024,15.289,15.2146,15.37733,15.64708,14.94173
18.0271,17.1059,16.6905,16.5215,16.4454,16.75056,16.99192,16.19719
18.6155,17.6138,17.2716,17.116,17.0651,17.25971,17.56352,16.79166
17.7837,16.7971,16.3525,16.1517,16.0345,16.33729,16.69698,15.80532
16.37741,15.5478,15.33694,15.19499,15.16869,15.2767,15.52545,14.86491
17.2468,16.2878,15.9682,15.8165,15.7967,15.95197,16.23363,15.49556
16.9207,15.9379,15.6116,15.5026,15.4944,15.61102,15.88172,15.17281
16.62349,15.62208,15.21929,15.04705,15.01148,15.21731,15.53409,14.71927
17.4415,16.4445,16.142,16.0442,16.0284,16.12805,16.38622,15.70374
18.0709,17.1712,16.9152,16.846,16.8152,16.90313,17.13124,16.50772
16.7836,15.8125,15.459,15.3177,15.3412,15.4332,15.70127,14.99908
17.4515,16.4735,16.1531,16.0046,15.9591,16.1288,16.41993,15.66047
17.6264,16.7012,16.3742,16.2757,16.2683,16.36655,16.64599,15.95124
17.2887,16.4073,16.0685,15.9315,15.9338,16.05344,16.33777,15.58992
18.6607,17.6949,17.4504,17.3229,17.294,17.43178,17.75216,17.07227
16.57068,15.28684,15.21864,15.29697,15.38117,15.19567,15.32036,14.98627
16.4367,15.4834,15.1804,15.0846,15.0685,15.18259,15.43848,14.75848
16.907,15.9577,15.7201,15.627,15.6205,15.68887,15.93403,15.28156
17.21708,16.27742,15.95657,15.84256,15.82474,15.9491,16.21971,15.51384
